2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -67, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2437
5.SSID: bergundtal, BSSID: 00:0d:28:b7:49:c0, capabilities: [ESS], level: -88, frequency: 2412
Time passed (ms): 1362829282810
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -70, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -67, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2437
5.SSID: bergundtal, BSSID: 00:0d:28:b7:49:c0, capabilities: [ESS], level: -88, frequency: 2412
Time passed (ms): 1362829286241
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -74, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -83, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2437
5.SSID: bergundtal, BSSID: 00:0d:28:b7:49:c0, capabilities: [ESS], level: -85, frequency: 2412
6.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5280
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:7d, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5660
8.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:bf:00, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -91, frequency: 2462
9.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -83, frequency: 5280
10.SSID: mops, BSSID: 00:21:a0:10:22:d1, capabilities: [ESS], level: -82, frequency: 2412
11.SSID: mops, BSSID: 00:17:df:a7:f4:7e, capabilities: [ESS], level: -90, frequency: 5660
Time passed (ms): 1362829286250
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -74, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -83, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2437
5.SSID: bergundtal, BSSID: 00:0d:28:b7:49:c0, capabilities: [ESS], level: -85, frequency: 2412
6.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5280
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:7d, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5660
8.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:bf:00, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -91, frequency: 2462
9.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -83, frequency: 5280
10.SSID: mops, BSSID: 00:21:a0:10:22:d1, capabilities: [ESS], level: -82, frequency: 2412
11.SSID: mops, BSSID: 00:17:df:a7:f4:7e, capabilities: [ESS], level: -90, frequency: 5660
Time passed (ms): 1362829289679
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -82, frequency: 5240
